Data Series,Market,Region,Country,Import (Million Dollars),Export (Million Dollars)
2003 Apr,Total All Markets,Europe,United Kingdom,355.7,506.6
2003 Apr,Total All Markets,NA,NA,19325,12258.4
2003 Apr,Total All Markets,Oceania,Antarctica,0,0
2003 Apr,Total All Markets,Oceania,Australia,395.1,409.2
2003 Apr,Total All Markets,Oceania,Fiji,0.4,26.9
2003 Apr,Total All Markets,Oceania,French Polynesia,0.1,0.4
2003 Apr,Total All Markets,Oceania,Guam,0,15.7
2003 Apr,Total All Markets,Oceania,Marshall Islands,0,16.9
2003 Apr,Total All Markets,Oceania,NA,457.3,629.4
2003 Apr,Total All Markets,Oceania,New Caledonia,11,22.1
2003 Apr,Total All Markets,Oceania,New Zealand,46.6,65.9
2003 Apr,Total All Markets,Oceania,Northern Mariana Islands,0.1,7.3
2003 Apr,Total All Markets,Oceania,Other Markets Oceania,0.1,4.5
2003 Apr,Total All Markets,Oceania,Papua New Guinea,3.9,51.3
2003 Apr,Total All Markets,Oceania,Samoa,0,2.2
2003 Apr,Total All Markets,Oceania,Solomon Islands,0.1,5.2
2003 Apr,Total All Markets,Oceania,Vanuatu,0,1.8
2003 Aug,Total All Markets,Africa,Algeria,0,0.6
2003 Aug,Total All Markets,Africa,Angola,0,1.8
2003 Aug,Total All Markets,Africa,Benin,0,0.4
2003 Aug,Total All Markets,Africa,Cameroon,0,0.3
2003 Aug,Total All Markets,Africa,Cape Verde,0,0
2003 Aug,Total All Markets,Africa,Comoros,0.1,0.4
2003 Aug,Total All Markets,Africa,"Congo, Dem Rep Of",0,0.6
2003 Aug,Total All Markets,Africa,Cote D'ivoire,5.4,1.3
2003 Aug,Total All Markets,Africa,Djibouti,0,3.6
2003 Aug,Total All Markets,Africa,Egypt,1.4,6.8
2003 Aug,Total All Markets,Africa,Ethiopia,0.6,2.6
2003 Aug,Total All Markets,Africa,Gabon,2,0.1
2003 Aug,Total All Markets,Africa,Ghana,2.6,1.3
2003 Aug,Total All Markets,Africa,Guinea,0,0.3
2003 Aug,Total All Markets,Africa,Kenya,1,2.2
2003 Aug,Total All Markets,Africa,Liberia,0.2,53.1
2003 Aug,Total All Markets,Africa,Libya,11.1,2.6
2003 Aug,Total All Markets,Africa,Madagascar,1.5,1.2
2003 Aug,Total All Markets,Africa,Mauritius,0.3,5.7
2003 Aug,Total All Markets,Africa,Morocco,24.7,12.9
2003 Aug,Total All Markets,Africa,Mozambique,0,0.3
2003 Aug,Total All Markets,Africa,NA,110.6,132.9
2003 Aug,Total All Markets,Africa,Nigeria,0.1,6.7
2003 Aug,Total All Markets,Africa,Other Markets Africa,9,5.2
2003 Aug,Total All Markets,Africa,Reunion,0,0.3
2003 Aug,Total All Markets,Africa,Seychelles,0.4,1.4
2003 Aug,Total All Markets,Africa,Sierra Leone,0,0.1
2003 Aug,Total All Markets,Africa,Somalia,0,0.4
2003 Aug,Total All Markets,Africa,South Africa,47.7,17.5
2003 Aug,Total All Markets,Africa,Sudan,0.1,2
2003 Aug,Total All Markets,Africa,Swaziland,0.8,0.1
2003 Aug,Total All Markets,Africa,Tanzania,0.2,1
2003 Aug,Total All Markets,Africa,Tunisia,0.6,0.3
2003 Aug,Total All Markets,Africa,Zambia,0,0
2003 Aug,Total All Markets,Africa,Zimbabwe,0.8,0
2003 Aug,Total All Markets,America,Antigua And Barbuda,0,8.7
2003 Aug,Total All Markets,America,Argentina,1.8,21
2003 Aug,Total All Markets,America,Bahamas,0.3,18.8
2003 Aug,Total All Markets,America,Bermuda,0.5,1.4
2003 Aug,Total All Markets,America,Brazil,44.8,19.7
2003 Aug,Total All Markets,America,Canada,101.9,37.7
2003 Aug,Total All Markets,America,Chile,7.6,1.9
2003 Aug,Total All Markets,America,Colombia,0.4,3.6
2003 Aug,Total All Markets,America,Costa Rica,10.5,0.8
2003 Aug,Total All Markets,America,Cuba,0,0.1
2003 Aug,Total All Markets,America,Dominican Rep,0.2,0.4
2003 Aug,Total All Markets,America,Ecuador,0.2,0.4
2003 Aug,Total All Markets,America,El Salvador,1.4,0.2
2003 Aug,Total All Markets,America,Guatemala,0.8,0.3
2003 Aug,Total All Markets,America,Guyana,0.1,0
2003 Aug,Total All Markets,America,Honduras,0,0.5
2003 Aug,Total All Markets,America,Jamaica,0,0.4
2003 Aug,Total All Markets,America,Mexico,39.3,32.1
2003 Aug,Total All Markets,America,NA,3087.6,2060.7
2003 Aug,Total All Markets,America,Netherlands Antilles,0.2,1.1
2003 Aug,Total All Markets,America,Other Markets America,16.2,3.5
2003 Aug,Total All Markets,America,Panama,1.1,163.3
2003 Aug,Total All Markets,America,Paraguay,0.1,0
2003 Aug,Total All Markets,America,Peru,0.4,0.4
2003 Aug,Total All Markets,America,Puerto Rico,31.8,215.8
2003 Aug,Total All Markets,America,St. Vincent And The Grenadines,0,3.3
2003 Aug,Total All Markets,America,Trinidad And Tobago,0,0.1
